filename,category,article_or_summary
396.txt,business,Summaries
021.txt,business,Summaries
468.txt,business,Summaries
179.txt,business,Summaries
453.txt,business,Summaries
472.txt,business,Summaries
229.txt,business,Summaries
322.txt,business,Summaries
057.txt,business,Summaries
043.txt,business,Summaries
045.txt,business,Summaries
148.txt,business,Summaries
115.txt,business,Summaries
415.txt,business,Summaries
459.txt,business,Summaries
040.txt,business,Summaries
289.txt,business,Summaries
063.txt,business,Summaries
263.txt,business,Summaries
105.txt,business,Summaries
180.txt,business,Summaries
255.txt,business,Summaries
185.txt,business,Summaries
162.txt,business,Summaries
240.txt,business,Summaries
343.txt,business,Summaries
166.txt,business,Summaries
127.txt,business,Summaries
010.txt,business,Summaries
031.txt,business,Summaries
235.txt,business,Summaries
356.txt,business,Summaries
062.txt,business,Summaries
376.txt,business,Summaries
478.txt,business,Summaries
012.txt,business,Summaries
290.txt,business,Summaries
369.txt,business,Summaries
483.txt,business,Summaries
215.txt,business,Summaries
129.txt,business,Summaries
450.txt,business,Summaries
503.txt,business,Summaries
089.txt,business,Summaries
059.txt,business,Summaries
314.txt,business,Summaries
027.txt,business,Summaries
391.txt,business,Summaries
310.txt,business,Summaries
374.txt,business,Summaries
230.txt,business,Summaries
501.txt,business,Summaries
363.txt,business,Summaries
381.txt,business,Summaries
155.txt,business,Summaries
398.txt,business,Summaries
037.txt,business,Summaries
165.txt,business,Summaries
457.txt,business,Summaries
407.txt,business,Summaries
510.txt,business,Summaries
159.txt,business,Summaries
001.txt,business,Summaries
382.txt,business,Summaries
447.txt,business,Summaries
250.txt,business,Summaries
254.txt,business,Summaries
080.txt,business,Summaries
350.txt,business,Summaries
223.txt,business,Summaries
034.txt,business,Summaries
399.txt,business,Summaries
171.txt,business,Summaries
299.txt,business,Summaries
036.txt,business,Summaries
387.txt,business,Summaries
261.txt,business,Summaries
226.txt,business,Summaries
120.txt,business,Summaries
224.txt,business,Summaries
253.txt,business,Summaries
158.txt,business,Summaries
425.txt,business,Summaries
332.txt,business,Summaries
308.txt,business,Summaries
327.txt,business,Summaries
011.txt,business,Summaries
094.txt,business,Summaries
485.txt,business,Summaries
016.txt,business,Summaries
151.txt,business,Summaries
093.txt,business,Summaries
075.txt,business,Summaries
212.txt,business,Summaries
339.txt,business,Summaries
334.txt,business,Summaries
280.txt,business,Summaries
490.txt,business,Summaries
177.txt,business,Summaries
368.txt,business,Summaries
225.txt,business,Summaries
373.txt,business,Summaries
275.txt,business,Summaries
337.txt,business,Summaries
481.txt,business,Summaries
462.txt,business,Summaries
323.txt,business,Summaries
113.txt,business,Summaries
268.txt,business,Summaries
138.txt,business,Summaries
085.txt,business,Summaries
347.txt,business,Summaries
077.txt,business,Summaries
435.txt,business,Summaries
032.txt,business,Summaries
196.txt,business,Summaries
423.txt,business,Summaries
488.txt,business,Summaries
046.txt,business,Summaries
076.txt,business,Summaries
022.txt,business,Summaries
320.txt,business,Summaries
304.txt,business,Summaries
506.txt,business,Summaries
262.txt,business,Summaries
452.txt,business,Summaries
088.txt,business,Summaries
359.txt,business,Summaries
349.txt,business,Summaries
202.txt,business,Summaries
209.txt,business,Summaries
400.txt,business,Summaries
473.txt,business,Summaries
441.txt,business,Summaries
461.txt,business,Summaries
371.txt,business,Summaries
395.txt,business,Summaries
058.txt,business,Summaries
152.txt,business,Summaries
471.txt,business,Summaries
507.txt,business,Summaries
067.txt,business,Summaries
412.txt,business,Summaries
260.txt,business,Summaries
498.txt,business,Summaries
068.txt,business,Summaries
505.txt,business,Summaries
237.txt,business,Summaries
421.txt,business,Summaries
360.txt,business,Summaries
247.txt,business,Summaries
030.txt,business,Summaries
401.txt,business,Summaries
298.txt,business,Summaries
256.txt,business,Summaries
210.txt,business,Summaries
234.txt,business,Summaries
020.txt,business,Summaries
430.txt,business,Summaries
188.txt,business,Summaries
070.txt,business,Summaries
266.txt,business,Summaries
420.txt,business,Summaries
203.txt,business,Summaries
491.txt,business,Summaries
272.txt,business,Summaries
041.txt,business,Summaries
023.txt,business,Summaries
114.txt,business,Summaries
422.txt,business,Summaries
440.txt,business,Summaries
190.txt,business,Summaries
112.txt,business,Summaries
195.txt,business,Summaries
198.txt,business,Summaries
220.txt,business,Summaries
143.txt,business,Summaries
397.txt,business,Summaries
066.txt,business,Summaries
331.txt,business,Summaries
279.txt,business,Summaries
086.txt,business,Summaries
071.txt,business,Summaries
402.txt,business,Summaries
169.txt,business,Summaries
434.txt,business,Summaries
318.txt,business,Summaries
366.txt,business,Summaries
257.txt,business,Summaries
157.txt,business,Summaries
428.txt,business,Summaries
300.txt,business,Summaries
311.txt,business,Summaries
061.txt,business,Summaries
241.txt,business,Summaries
475.txt,business,Summaries
170.txt,business,Summaries
150.txt,business,Summaries
078.txt,business,Summaries
358.txt,business,Summaries
258.txt,business,Summaries
133.txt,business,Summaries
074.txt,business,Summaries
278.txt,business,Summaries
132.txt,business,Summaries
006.txt,business,Summaries
213.txt,business,Summaries
181.txt,business,Summaries
146.txt,business,Summaries
156.txt,business,Summaries
056.txt,business,Summaries
008.txt,business,Summaries
427.txt,business,Summaries
052.txt,business,Summaries
309.txt,business,Summaries
445.txt,business,Summaries
131.txt,business,Summaries
342.txt,business,Summaries
378.txt,business,Summaries
232.txt,business,Summaries
489.txt,business,Summaries
436.txt,business,Summaries
307.txt,business,Summaries
111.txt,business,Summaries
313.txt,business,Summaries
233.txt,business,Summaries
341.txt,business,Summaries
106.txt,business,Summaries
060.txt,business,Summaries
480.txt,business,Summaries
432.txt,business,Summaries
219.txt,business,Summaries
144.txt,business,Summaries
393.txt,business,Summaries
270.txt,business,Summaries
403.txt,business,Summaries
095.txt,business,Summaries
206.txt,business,Summaries
007.txt,business,Summaries
338.txt,business,Summaries
301.txt,business,Summaries
451.txt,business,Summaries
335.txt,business,Summaries
477.txt,business,Summaries
186.txt,business,Summaries
410.txt,business,Summaries
470.txt,business,Summaries
495.txt,business,Summaries
273.txt,business,Summaries
228.txt,business,Summaries
321.txt,business,Summaries
038.txt,business,Summaries
167.txt,business,Summaries
274.txt,business,Summaries
118.txt,business,Summaries
357.txt,business,Summaries
467.txt,business,Summaries
014.txt,business,Summaries
416.txt,business,Summaries
221.txt,business,Summaries
083.txt,business,Summaries
455.txt,business,Summaries
193.txt,business,Summaries
125.txt,business,Summaries
128.txt,business,Summaries
199.txt,business,Summaries
108.txt,business,Summaries
172.txt,business,Summaries
130.txt,business,Summaries
302.txt,business,Summaries
140.txt,business,Summaries
259.txt,business,Summaries
433.txt,business,Summaries
284.txt,business,Summaries
317.txt,business,Summaries
204.txt,business,Summaries
267.txt,business,Summaries
003.txt,business,Summaries
492.txt,business,Summaries
216.txt,business,Summaries
271.txt,business,Summaries
443.txt,business,Summaries
312.txt,business,Summaries
486.txt,business,Summaries
184.txt,business,Summaries
388.txt,business,Summaries
107.txt,business,Summaries
474.txt,business,Summaries
064.txt,business,Summaries
408.txt,business,Summaries
164.txt,business,Summaries
386.txt,business,Summaries
082.txt,business,Summaries
242.txt,business,Summaries
100.txt,business,Summaries
297.txt,business,Summaries
160.txt,business,Summaries
249.txt,business,Summaries
417.txt,business,Summaries
316.txt,business,Summaries
243.txt,business,Summaries
145.txt,business,Summaries
236.txt,business,Summaries
305.txt,business,Summaries
287.txt,business,Summaries
084.txt,business,Summaries
296.txt,business,Summaries
294.txt,business,Summaries
496.txt,business,Summaries
394.txt,business,Summaries
048.txt,business,Summaries
482.txt,business,Summaries
090.txt,business,Summaries
189.txt,business,Summaries
096.txt,business,Summaries
315.txt,business,Summaries
103.txt,business,Summaries
072.txt,business,Summaries
017.txt,business,Summaries
454.txt,business,Summaries
500.txt,business,Summaries
002.txt,business,Summaries
370.txt,business,Summaries
069.txt,business,Summaries
135.txt,business,Summaries
102.txt,business,Summaries
293.txt,business,Summaries
123.txt,business,Summaries
227.txt,business,Summaries
429.txt,business,Summaries
346.txt,business,Summaries
379.txt,business,Summaries
362.txt,business,Summaries
493.txt,business,Summaries
222.txt,business,Summaries
018.txt,business,Summaries
047.txt,business,Summaries
079.txt,business,Summaries
497.txt,business,Summaries
465.txt,business,Summaries
499.txt,business,Summaries
504.txt,business,Summaries
009.txt,business,Summaries
183.txt,business,Summaries
049.txt,business,Summaries
364.txt,business,Summaries
035.txt,business,Summaries
218.txt,business,Summaries
442.txt,business,Summaries
101.txt,business,Summaries
081.txt,business,Summaries
292.txt,business,Summaries
264.txt,business,Summaries
330.txt,business,Summaries
194.txt,business,Summaries
015.txt,business,Summaries
419.txt,business,Summaries
124.txt,business,Summaries
025.txt,business,Summaries
405.txt,business,Summaries
404.txt,business,Summaries
277.txt,business,Summaries
466.txt,business,Summaries
439.txt,business,Summaries
367.txt,business,Summaries
329.txt,business,Summaries
238.txt,business,Summaries
502.txt,business,Summaries
168.txt,business,Summaries
390.txt,business,Summaries
476.txt,business,Summaries
446.txt,business,Summaries
392.txt,business,Summaries
291.txt,business,Summaries
288.txt,business,Summaries
324.txt,business,Summaries
005.txt,business,Summaries
509.txt,business,Summaries
345.txt,business,Summaries
147.txt,business,Summaries
295.txt,business,Summaries
153.txt,business,Summaries
458.txt,business,Summaries
211.txt,business,Summaries
205.txt,business,Summaries
384.txt,business,Summaries
099.txt,business,Summaries
197.txt,business,Summaries
281.txt,business,Summaries
326.txt,business,Summaries
117.txt,business,Summaries
121.txt,business,Summaries
163.txt,business,Summaries
306.txt,business,Summaries
187.txt,business,Summaries
252.txt,business,Summaries
352.txt,business,Summaries
182.txt,business,Summaries
355.txt,business,Summaries
411.txt,business,Summaries
389.txt,business,Summaries
137.txt,business,Summaries
026.txt,business,Summaries
303.txt,business,Summaries
438.txt,business,Summaries
065.txt,business,Summaries
104.txt,business,Summaries
406.txt,business,Summaries
051.txt,business,Summaries
325.txt,business,Summaries
424.txt,business,Summaries
029.txt,business,Summaries
354.txt,business,Summaries
207.txt,business,Summaries
414.txt,business,Summaries
191.txt,business,Summaries
091.txt,business,Summaries
109.txt,business,Summaries
033.txt,business,Summaries
055.txt,business,Summaries
469.txt,business,Summaries
136.txt,business,Summaries
176.txt,business,Summaries
508.txt,business,Summaries
053.txt,business,Summaries
092.txt,business,Summaries
456.txt,business,Summaries
073.txt,business,Summaries
246.txt,business,Summaries
019.txt,business,Summaries
217.txt,business,Summaries
348.txt,business,Summaries
494.txt,business,Summaries
119.txt,business,Summaries
042.txt,business,Summaries
460.txt,business,Summaries
463.txt,business,Summaries
437.txt,business,Summaries
116.txt,business,Summaries
013.txt,business,Summaries
231.txt,business,Summaries
444.txt,business,Summaries
377.txt,business,Summaries
484.txt,business,Summaries
282.txt,business,Summaries
344.txt,business,Summaries
319.txt,business,Summaries
269.txt,business,Summaries
286.txt,business,Summaries
173.txt,business,Summaries
097.txt,business,Summaries
126.txt,business,Summaries
142.txt,business,Summaries
340.txt,business,Summaries
239.txt,business,Summaries
208.txt,business,Summaries
285.txt,business,Summaries
214.txt,business,Summaries
149.txt,business,Summaries
050.txt,business,Summaries
448.txt,business,Summaries
336.txt,business,Summaries
413.txt,business,Summaries
110.txt,business,Summaries
385.txt,business,Summaries
283.txt,business,Summaries
380.txt,business,Summaries
192.txt,business,Summaries
248.txt,business,Summaries
004.txt,business,Summaries
024.txt,business,Summaries
361.txt,politics,News Articles
245.txt,politics,News Articles
141.txt,politics,News Articles
372.txt,politics,News Articles
333.txt,politics,News Articles
276.txt,politics,News Articles
244.txt,politics,News Articles
175.txt,politics,News Articles
351.txt,politics,News Articles
265.txt,politics,News Articles
178.txt,politics,News Articles
201.txt,politics,News Articles
087.txt,politics,News Articles
251.txt,politics,News Articles
122.txt,politics,News Articles
375.txt,politics,News Articles
098.txt,politics,News Articles
139.txt,politics,News Articles
161.txt,politics,News Articles
328.txt,politics,News Articles
174.txt,politics,News Articles
353.txt,politics,News Articles
383.txt,politics,News Articles
409.txt,politics,News Articles
039.txt,politics,News Articles
365.txt,politics,News Articles
028.txt,politics,News Articles
134.txt,politics,News Articles
044.txt,politics,News Articles
154.txt,politics,News Articles
054.txt,politics,News Articles
200.txt,politics,News Articles
396.txt,politics,News Articles
021.txt,politics,News Articles
179.txt,politics,News Articles
229.txt,politics,News Articles
322.txt,politics,News Articles
057.txt,politics,News Articles
043.txt,politics,News Articles
045.txt,politics,News Articles
148.txt,politics,News Articles
115.txt,politics,News Articles
415.txt,politics,News Articles
040.txt,politics,News Articles
289.txt,politics,News Articles
063.txt,politics,News Articles
263.txt,politics,News Articles
105.txt,politics,News Articles
180.txt,politics,News Articles
255.txt,politics,News Articles
185.txt,politics,News Articles
162.txt,politics,News Articles
240.txt,politics,News Articles
343.txt,politics,News Articles
166.txt,politics,News Articles
127.txt,politics,News Articles
010.txt,politics,News Articles
031.txt,politics,News Articles
235.txt,politics,News Articles
356.txt,politics,News Articles
062.txt,politics,News Articles
376.txt,politics,News Articles
012.txt,politics,News Articles
290.txt,politics,News Articles
369.txt,politics,News Articles
215.txt,politics,News Articles
129.txt,politics,News Articles
089.txt,politics,News Articles
059.txt,politics,News Articles
314.txt,politics,News Articles
027.txt,politics,News Articles
391.txt,politics,News Articles
310.txt,politics,News Articles
374.txt,politics,News Articles
230.txt,politics,News Articles
363.txt,politics,News Articles
381.txt,politics,News Articles
155.txt,politics,News Articles
398.txt,politics,News Articles
037.txt,politics,News Articles
165.txt,politics,News Articles
407.txt,politics,News Articles
159.txt,politics,News Articles
001.txt,politics,News Articles
382.txt,politics,News Articles
250.txt,politics,News Articles
254.txt,politics,News Articles
080.txt,politics,News Articles
350.txt,politics,News Articles
223.txt,politics,News Articles
034.txt,politics,News Articles
399.txt,politics,News Articles
171.txt,politics,News Articles
299.txt,politics,News Articles
036.txt,politics,News Articles
387.txt,politics,News Articles
261.txt,politics,News Articles
226.txt,politics,News Articles
120.txt,politics,News Articles
224.txt,politics,News Articles
253.txt,politics,News Articles
158.txt,politics,News Articles
332.txt,politics,News Articles
308.txt,politics,News Articles
327.txt,politics,News Articles
011.txt,politics,News Articles
094.txt,politics,News Articles
016.txt,politics,News Articles
151.txt,politics,News Articles
093.txt,politics,News Articles
075.txt,politics,News Articles
212.txt,politics,News Articles
339.txt,politics,News Articles
334.txt,politics,News Articles
280.txt,politics,News Articles
177.txt,politics,News Articles
368.txt,politics,News Articles
225.txt,politics,News Articles
373.txt,politics,News Articles
275.txt,politics,News Articles
337.txt,politics,News Articles
323.txt,politics,News Articles
113.txt,politics,News Articles
268.txt,politics,News Articles
138.txt,politics,News Articles
085.txt,politics,News Articles
347.txt,politics,News Articles
077.txt,politics,News Articles
032.txt,politics,News Articles
196.txt,politics,News Articles
046.txt,politics,News Articles
076.txt,politics,News Articles
022.txt,politics,News Articles
320.txt,politics,News Articles
304.txt,politics,News Articles
262.txt,politics,News Articles
088.txt,politics,News Articles
359.txt,politics,News Articles
349.txt,politics,News Articles
202.txt,politics,News Articles
209.txt,politics,News Articles
400.txt,politics,News Articles
371.txt,politics,News Articles
395.txt,politics,News Articles
058.txt,politics,News Articles
152.txt,politics,News Articles
067.txt,politics,News Articles
412.txt,politics,News Articles
260.txt,politics,News Articles
068.txt,politics,News Articles
237.txt,politics,News Articles
360.txt,politics,News Articles
247.txt,politics,News Articles
030.txt,politics,News Articles
401.txt,politics,News Articles
298.txt,politics,News Articles
256.txt,politics,News Articles
210.txt,politics,News Articles
234.txt,politics,News Articles
020.txt,politics,News Articles
188.txt,politics,News Articles
070.txt,politics,News Articles
266.txt,politics,News Articles
203.txt,politics,News Articles
272.txt,politics,News Articles
041.txt,politics,News Articles
023.txt,politics,News Articles
114.txt,politics,News Articles
190.txt,politics,News Articles
112.txt,politics,News Articles
195.txt,politics,News Articles
198.txt,politics,News Articles
220.txt,politics,News Articles
143.txt,politics,News Articles
397.txt,politics,News Articles
066.txt,politics,News Articles
331.txt,politics,News Articles
279.txt,politics,News Articles
086.txt,politics,News Articles
071.txt,politics,News Articles
402.txt,politics,News Articles
169.txt,politics,News Articles
318.txt,politics,News Articles
366.txt,politics,News Articles
257.txt,politics,News Articles
157.txt,politics,News Articles
300.txt,politics,News Articles
311.txt,politics,News Articles
061.txt,politics,News Articles
241.txt,politics,News Articles
170.txt,politics,News Articles
150.txt,politics,News Articles
078.txt,politics,News Articles
358.txt,politics,News Articles
258.txt,politics,News Articles
133.txt,politics,News Articles
074.txt,politics,News Articles
278.txt,politics,News Articles
132.txt,politics,News Articles
006.txt,politics,News Articles
213.txt,politics,News Articles
181.txt,politics,News Articles
146.txt,politics,News Articles
156.txt,politics,News Articles
056.txt,politics,News Articles
008.txt,politics,News Articles
052.txt,politics,News Articles
309.txt,politics,News Articles
131.txt,politics,News Articles
342.txt,politics,News Articles
378.txt,politics,News Articles
232.txt,politics,News Articles
307.txt,politics,News Articles
111.txt,politics,News Articles
313.txt,politics,News Articles
233.txt,politics,News Articles
341.txt,politics,News Articles
106.txt,politics,News Articles
060.txt,politics,News Articles
219.txt,politics,News Articles
144.txt,politics,News Articles
393.txt,politics,News Articles
270.txt,politics,News Articles
403.txt,politics,News Articles
095.txt,politics,News Articles
206.txt,politics,News Articles
007.txt,politics,News Articles
338.txt,politics,News Articles
301.txt,politics,News Articles
335.txt,politics,News Articles
186.txt,politics,News Articles
410.txt,politics,News Articles
273.txt,politics,News Articles
228.txt,politics,News Articles
321.txt,politics,News Articles
038.txt,politics,News Articles
167.txt,politics,News Articles
274.txt,politics,News Articles
118.txt,politics,News Articles
357.txt,politics,News Articles
014.txt,politics,News Articles
416.txt,politics,News Articles
221.txt,politics,News Articles
083.txt,politics,News Articles
193.txt,politics,News Articles
125.txt,politics,News Articles
128.txt,politics,News Articles
199.txt,politics,News Articles
108.txt,politics,News Articles
172.txt,politics,News Articles
130.txt,politics,News Articles
302.txt,politics,News Articles
140.txt,politics,News Articles
259.txt,politics,News Articles
284.txt,politics,News Articles
317.txt,politics,News Articles
204.txt,politics,News Articles
267.txt,politics,News Articles
003.txt,politics,News Articles
216.txt,politics,News Articles
271.txt,politics,News Articles
312.txt,politics,News Articles
184.txt,politics,News Articles
388.txt,politics,News Articles
107.txt,politics,News Articles
064.txt,politics,News Articles
408.txt,politics,News Articles
164.txt,politics,News Articles
386.txt,politics,News Articles
082.txt,politics,News Articles
242.txt,politics,News Articles
100.txt,politics,News Articles
297.txt,politics,News Articles
160.txt,politics,News Articles
249.txt,politics,News Articles
417.txt,politics,News Articles
316.txt,politics,News Articles
243.txt,politics,News Articles
145.txt,politics,News Articles
236.txt,politics,News Articles
305.txt,politics,News Articles
287.txt,politics,News Articles
084.txt,politics,News Articles
296.txt,politics,News Articles
294.txt,politics,News Articles
394.txt,politics,News Articles
048.txt,politics,News Articles
090.txt,politics,News Articles
189.txt,politics,News Articles
096.txt,politics,News Articles
315.txt,politics,News Articles
103.txt,politics,News Articles
072.txt,politics,News Articles
017.txt,politics,News Articles
002.txt,politics,News Articles
370.txt,politics,News Articles
069.txt,politics,News Articles
135.txt,politics,News Articles
102.txt,politics,News Articles
293.txt,politics,News Articles
123.txt,politics,News Articles
227.txt,politics,News Articles
346.txt,politics,News Articles
379.txt,politics,News Articles
362.txt,politics,News Articles
222.txt,politics,News Articles
018.txt,politics,News Articles
047.txt,politics,News Articles
079.txt,politics,News Articles
009.txt,politics,News Articles
183.txt,politics,News Articles
049.txt,politics,News Articles
364.txt,politics,News Articles
035.txt,politics,News Articles
218.txt,politics,News Articles
101.txt,politics,News Articles
081.txt,politics,News Articles
292.txt,politics,News Articles
264.txt,politics,News Articles
330.txt,politics,News Articles
194.txt,politics,News Articles
015.txt,politics,News Articles
124.txt,politics,News Articles
025.txt,politics,News Articles
405.txt,politics,News Articles
404.txt,politics,News Articles
277.txt,politics,News Articles
367.txt,politics,News Articles
329.txt,politics,News Articles
238.txt,politics,News Articles
168.txt,politics,News Articles
390.txt,politics,News Articles
392.txt,politics,News Articles
291.txt,politics,News Articles
288.txt,politics,News Articles
324.txt,politics,News Articles
005.txt,politics,News Articles
345.txt,politics,News Articles
147.txt,politics,News Articles
295.txt,politics,News Articles
153.txt,politics,News Articles
211.txt,politics,News Articles
205.txt,politics,News Articles
384.txt,politics,News Articles
099.txt,politics,News Articles
197.txt,politics,News Articles
281.txt,politics,News Articles
326.txt,politics,News Articles
117.txt,politics,News Articles
121.txt,politics,News Articles
163.txt,politics,News Articles
306.txt,politics,News Articles
187.txt,politics,News Articles
252.txt,politics,News Articles
352.txt,politics,News Articles
182.txt,politics,News Articles
355.txt,politics,News Articles
411.txt,politics,News Articles
389.txt,politics,News Articles
137.txt,politics,News Articles
026.txt,politics,News Articles
303.txt,politics,News Articles
065.txt,politics,News Articles
104.txt,politics,News Articles
406.txt,politics,News Articles
051.txt,politics,News Articles
325.txt,politics,News Articles
029.txt,politics,News Articles
354.txt,politics,News Articles
207.txt,politics,News Articles
414.txt,politics,News Articles
191.txt,politics,News Articles
091.txt,politics,News Articles
109.txt,politics,News Articles
033.txt,politics,News Articles
055.txt,politics,News Articles
136.txt,politics,News Articles
176.txt,politics,News Articles
053.txt,politics,News Articles
092.txt,politics,News Articles
073.txt,politics,News Articles
246.txt,politics,News Articles
019.txt,politics,News Articles
217.txt,politics,News Articles
348.txt,politics,News Articles
119.txt,politics,News Articles
042.txt,politics,News Articles
116.txt,politics,News Articles
013.txt,politics,News Articles
231.txt,politics,News Articles
377.txt,politics,News Articles
282.txt,politics,News Articles
344.txt,politics,News Articles
319.txt,politics,News Articles
269.txt,politics,News Articles
286.txt,politics,News Articles
173.txt,politics,News Articles
097.txt,politics,News Articles
126.txt,politics,News Articles
142.txt,politics,News Articles
340.txt,politics,News Articles
239.txt,politics,News Articles
208.txt,politics,News Articles
285.txt,politics,News Articles
214.txt,politics,News Articles
149.txt,politics,News Articles
050.txt,politics,News Articles
336.txt,politics,News Articles
413.txt,politics,News Articles
110.txt,politics,News Articles
385.txt,politics,News Articles
283.txt,politics,News Articles
380.txt,politics,News Articles
192.txt,politics,News Articles
248.txt,politics,News Articles
004.txt,politics,News Articles
024.txt,politics,News Articles
361.txt,sport,News Articles
245.txt,sport,News Articles
431.txt,sport,News Articles
141.txt,sport,News Articles
487.txt,sport,News Articles
372.txt,sport,News Articles
333.txt,sport,News Articles
276.txt,sport,News Articles
244.txt,sport,News Articles
175.txt,sport,News Articles
351.txt,sport,News Articles
418.txt,sport,News Articles
449.txt,sport,News Articles
265.txt,sport,News Articles
178.txt,sport,News Articles
201.txt,sport,News Articles
464.txt,sport,News Articles
087.txt,sport,News Articles
251.txt,sport,News Articles
122.txt,sport,News Articles
375.txt,sport,News Articles
098.txt,sport,News Articles
139.txt,sport,News Articles
161.txt,sport,News Articles
479.txt,sport,News Articles
328.txt,sport,News Articles
174.txt,sport,News Articles
353.txt,sport,News Articles
383.txt,sport,News Articles
426.txt,sport,News Articles
409.txt,sport,News Articles
039.txt,sport,News Articles
365.txt,sport,News Articles
028.txt,sport,News Articles
134.txt,sport,News Articles
044.txt,sport,News Articles
154.txt,sport,News Articles
054.txt,sport,News Articles
200.txt,sport,News Articles
396.txt,sport,News Articles
021.txt,sport,News Articles
468.txt,sport,News Articles
179.txt,sport,News Articles
453.txt,sport,News Articles
472.txt,sport,News Articles
229.txt,sport,News Articles
322.txt,sport,News Articles
057.txt,sport,News Articles
043.txt,sport,News Articles
045.txt,sport,News Articles
148.txt,sport,News Articles
115.txt,sport,News Articles
415.txt,sport,News Articles
459.txt,sport,News Articles
040.txt,sport,News Articles
289.txt,sport,News Articles
063.txt,sport,News Articles
263.txt,sport,News Articles
105.txt,sport,News Articles
180.txt,sport,News Articles
255.txt,sport,News Articles
185.txt,sport,News Articles
162.txt,sport,News Articles
240.txt,sport,News Articles
343.txt,sport,News Articles
166.txt,sport,News Articles
127.txt,sport,News Articles
010.txt,sport,News Articles
031.txt,sport,News Articles
235.txt,sport,News Articles
356.txt,sport,News Articles
062.txt,sport,News Articles
376.txt,sport,News Articles
478.txt,sport,News Articles
012.txt,sport,News Articles
290.txt,sport,News Articles
369.txt,sport,News Articles
483.txt,sport,News Articles
215.txt,sport,News Articles
129.txt,sport,News Articles
450.txt,sport,News Articles
503.txt,sport,News Articles
089.txt,sport,News Articles
059.txt,sport,News Articles
314.txt,sport,News Articles
027.txt,sport,News Articles
391.txt,sport,News Articles
310.txt,sport,News Articles
374.txt,sport,News Articles
230.txt,sport,News Articles
501.txt,sport,News Articles
363.txt,sport,News Articles
381.txt,sport,News Articles
155.txt,sport,News Articles
398.txt,sport,News Articles
037.txt,sport,News Articles
165.txt,sport,News Articles
457.txt,sport,News Articles
407.txt,sport,News Articles
510.txt,sport,News Articles
159.txt,sport,News Articles
001.txt,sport,News Articles
382.txt,sport,News Articles
447.txt,sport,News Articles
250.txt,sport,News Articles
254.txt,sport,News Articles
080.txt,sport,News Articles
350.txt,sport,News Articles
223.txt,sport,News Articles
034.txt,sport,News Articles
399.txt,sport,News Articles
171.txt,sport,News Articles
299.txt,sport,News Articles
036.txt,sport,News Articles
387.txt,sport,News Articles
261.txt,sport,News Articles
226.txt,sport,News Articles
120.txt,sport,News Articles
224.txt,sport,News Articles
253.txt,sport,News Articles
158.txt,sport,News Articles
425.txt,sport,News Articles
332.txt,sport,News Articles
308.txt,sport,News Articles
327.txt,sport,News Articles
011.txt,sport,News Articles
094.txt,sport,News Articles
485.txt,sport,News Articles
016.txt,sport,News Articles
151.txt,sport,News Articles
093.txt,sport,News Articles
075.txt,sport,News Articles
212.txt,sport,News Articles
339.txt,sport,News Articles
334.txt,sport,News Articles
280.txt,sport,News Articles
490.txt,sport,News Articles
177.txt,sport,News Articles
368.txt,sport,News Articles
225.txt,sport,News Articles
373.txt,sport,News Articles
275.txt,sport,News Articles
337.txt,sport,News Articles
481.txt,sport,News Articles
462.txt,sport,News Articles
323.txt,sport,News Articles
113.txt,sport,News Articles
268.txt,sport,News Articles
138.txt,sport,News Articles
085.txt,sport,News Articles
347.txt,sport,News Articles
077.txt,sport,News Articles
435.txt,sport,News Articles
032.txt,sport,News Articles
196.txt,sport,News Articles
423.txt,sport,News Articles
488.txt,sport,News Articles
046.txt,sport,News Articles
076.txt,sport,News Articles
022.txt,sport,News Articles
320.txt,sport,News Articles
304.txt,sport,News Articles
506.txt,sport,News Articles
262.txt,sport,News Articles
452.txt,sport,News Articles
088.txt,sport,News Articles
359.txt,sport,News Articles
349.txt,sport,News Articles
202.txt,sport,News Articles
209.txt,sport,News Articles
400.txt,sport,News Articles
473.txt,sport,News Articles
441.txt,sport,News Articles
461.txt,sport,News Articles
371.txt,sport,News Articles
395.txt,sport,News Articles
058.txt,sport,News Articles
152.txt,sport,News Articles
471.txt,sport,News Articles
507.txt,sport,News Articles
067.txt,sport,News Articles
412.txt,sport,News Articles
260.txt,sport,News Articles
498.txt,sport,News Articles
068.txt,sport,News Articles
505.txt,sport,News Articles
237.txt,sport,News Articles
421.txt,sport,News Articles
360.txt,sport,News Articles
247.txt,sport,News Articles
030.txt,sport,News Articles
401.txt,sport,News Articles
298.txt,sport,News Articles
256.txt,sport,News Articles
210.txt,sport,News Articles
234.txt,sport,News Articles
020.txt,sport,News Articles
430.txt,sport,News Articles
188.txt,sport,News Articles
070.txt,sport,News Articles
266.txt,sport,News Articles
420.txt,sport,News Articles
203.txt,sport,News Articles
491.txt,sport,News Articles
272.txt,sport,News Articles
041.txt,sport,News Articles
023.txt,sport,News Articles
114.txt,sport,News Articles
422.txt,sport,News Articles
440.txt,sport,News Articles
190.txt,sport,News Articles
112.txt,sport,News Articles
195.txt,sport,News Articles
198.txt,sport,News Articles
220.txt,sport,News Articles
143.txt,sport,News Articles
397.txt,sport,News Articles
066.txt,sport,News Articles
331.txt,sport,News Articles
279.txt,sport,News Articles
086.txt,sport,News Articles
071.txt,sport,News Articles
402.txt,sport,News Articles
169.txt,sport,News Articles
